Input size,Best,Worst
8,0.00000,0.00000
16,0.00000,0.00000
32,0.00000,1.00000
64,0.00000,1.00000
128,0.00000,0.00000
256,0.00000,5.00000
512,0.00000,8.00000
1024,6.00000,18.00000
2048,34.00000,96.00000
4096,135.00000,176.00000
8192,582.00000,658.00000
16384,2480.00000,2694.00000
