Input size,Best,Worst
8,0.00000,0.00000
16,0.00000,0.00000
32,0.00000,0.00000
64,0.00000,0.00000
128,0.00000,5.00000
256,0.00000,60.00000
512,0.00000,10.00000
1024,7.00000,17.00000
2048,28.00000,53.00000
4096,118.00000,141.00000
8192,512.00000,613.00000
16384,2083.00000,4312.00000
