2, 0.0000, 2
4, 0.0000, 8
8, 0.0000, 24
16, 0.0000, 64
32, 0.0000, 160
64, 0.0000, 384
128, 0.0000, 896
256, 0.0500, 2048
512, 0.0000, 4608
1024, 0.0500, 10240
2048, 0.0500, 22528
4096, 0.6000, 49152
8192, 0.1000, 106496
16384, 1.1500, 229376
32768, 2.5500, 491520
65536, 4.2500, 1048576
